pair_ID	sentence_A	sentence_B	relatedness_score	SemEval_set
1	Uma criança risonha está segurando uma pistola de água e sendo espirrada com água	Uma criança está segurando uma pistola de água	4.5	TRAIN
2	Os homens estão cuidadosamente colocando as malas no porta-malas de um carro	Os homens estão colocando bagagens dentro do porta-malas de um carro	4.5	TRAIN
3	Uma pessoa tem cabelo loiro e esvoaçante e está tocando violão	Um guitarrista tem cabelo loiro e esvoaçante	4.7	TRAIN
4	Batatas estão sendo fatiadas por um homem	O homem está fatiando a batata	4.7	TRAIN
5	Um caminhão está descendo rapidamente um morro	Um caminhão está rapidamente descendo o morro	4.9	TRAIN
6	Um surfista está pegando uma grande onda através da água verde escura	Uma onda grande está sendo surfada por um surfista através da água verde escura	4.8	TRAIN
7	Três cachorros pequeninos estão cheirando algo	Três cachorros estão cheirando alguma coisa	4.6	TRAIN
8	Alguns adultos estão sentados nas cadeiras e estão observando o oceano	Dois adultos estão sentados em cadeiras e estão observando o oceano	4.7	TRAIN
9	A gruta com interior rosa está sendo escalada por quatro crianças do Oriente Médio, três meninas e um menino	Quatro crianças do Oriente Médio, três meninas e um menino, estão subindo na gruta com um interior rosa	4.9	TRAIN
10	O homem com um chapéu duro está dançando	Um homem com um chapéu duro está dançando	4.9	TRAIN
11	Um menino e uma menina estão brincando do lado de fora da academia	O menino e a menina estão brincando na academia ao ar livre	5.0	TRAIN
12	Um jovem casal está dormindo na cama	Um jovem casal está deitado na cama	4.3	TRAIN
13	O monte de homens está jogando rúgbi em um campo cheio de lama	O grupo de homens está jogando rúgbi em um monte enlameado	4.8	TRAIN
14	A batata está sendo descascada por uma mulher	Uma mulher está descascando a batata	4.9	TRAIN
15	Um homem está de pé em um morro de terra próximo a um jipe preto	Um homem está parado em um morro de terra ao lado de um carro preto	4.3	TRAIN
16	Um homem em uma camisa tingida de roxo está se afastando de um homem com uma camisa preta, que está sério	Um homem em uma camisa tingida de roxo está olhando para o homem de camisa preta que está fazendo uma cara engraçada	3.4	TRAIN
17	A menina está passando maquiagem em sua face	Uma menina está aplicando maquiagem em seu rosto	4.9	TRAIN
18	Um homem está picando um tronco com um machado	Um homem está cortando um tronco com um machado	4.9	TRAIN
19	O homem está rachando ovos em uma tigela	A pessoa está quebrando ovos em uma tigela	4.5	TRAIN
20	Uma criança jovem está usando botas feitas de borracha verde e está brincando em uma poça de lama	Uma criança jovem está usando botas verdes e brincando em uma poça cheia de lama	4.6	TRAIN
21	A pista de patinação no gelo colocada ao ar livre está cheia de pessoas	Muitas pessoas estão em um parque de patinação no gelo	4.2	TRAIN
22	Um coelho está brincando com um coelho de pelúcia	Um coelho está brincando com um coelho de brinquedo	4.4	TRAIN
23	Um filhote de gato está brincando com um brinquedo feito de corda azul	Um filhote de gato está brincando com um brinquedo	4.6	TRAIN
24	Um homem está tocando uma flauta	Um homem está tocando um instrumento	4.5	TRAIN
25	Dois meninos estão brincando em um trampolim	Alguns meninos estão brincando no trampolim	4.7	TRAIN
26	Dois cachorros estão em um canil em suas patas traseiras e estão um de frente um para o outro	Dois animais estão em um canil em suas patas traseiras e estão de frente um para o outro	4.6	TRAIN
27	Uma cebola está sendo cortada por um homem	Uma cebola está sendo fatiada por um homem	4.8	TRAIN
28	Um homem está esvaziando um recipiente de plástico	Um homem está esvaziando um recipiente feito de plástico	4.9	TRAIN
29	Um animal está correndo cansadamente em círculos	Um animal está correndo em círculos	4.3	TRAIN
30	Uma senhora está misturando uma mistura feita de carne em uma tigela	Uma senhora está misturando uma mistura de carne em uma tigela	5.0	TRAIN
31	Um homem está andando a cavalo	Um homem está montando um animal	4.4	TRAIN
32	O homem está montando um cavalo perto de um riacho	O homem está montando um cavalo perto de uma correnteza	4.4	TRAIN
33	Uma mulher está de pé na praia com um cachorro em uma coleira	Uma mulher está de pé na praia com um animal em uma coleira	4.6	TRAIN
34	Um cavalo está sendo montado por uma mulher	Uma mulher está andando a cavalo	5.0	TRAIN
